product_id,name,price,brand_fid,category_fid,sub_cat_fid,stock,description,features,image,tags,timestamp
96,Alpinestars Racing Footwear,18500,7,4,9,95,Engineered with precision using Thermoplastic for uncompromising Aerodynamic. Trusted by riders worldwide.,Back protector compatible! Ergonomic design! Waterproof membrane! Packable design,alpinestars_racing_footwear.jpg,"performance, sport, alpinestars, boots-&-shoes, racing",25-02-18 10:19:19
97,MT Helmets Cross Pro,72500,22,2,5,86,Professional-grade motocross featuring SNELL and Breathable. Where innovation meets performance.,ECE 22.06 approved! Comfortable padding! Lightweight construction! Pinlock ready! Anti-scratch coating! Emergency cheek pad removal,mt_helmets_cross_pro.jpg,"motocross, mt helmets",25-03-17 06:52:04
98,Michelin Sport Series Motorcycle Lights,8000,28,5,14,95,Versatile motorcycle lights combining Breathable with Tech-Air. Engineered for the modern rider.,Optimized flow dynamics! High-temperature stability! Direct bolt-on installation! Quality-tested components,michelin_sport_series_motorcycle_lights.jpg,"motorcycle-lights, michelin, performance, sport, racing",25-07-11 09:43:44
99,Rynox Sport Footwear,54000,29,4,9,56,Versatile boots & shoes combining Ventilated with SNELL. Engineered for the modern rider.,Abrasion-resistant materials! Moisture-wicking lining! Wind-resistant construction! Packable design! Waterproof membrane! Breathable panels,rynox_sport_footwear.jpg,"performance, rynox, sport, boots-&-shoes, racing",25-06-22 10:27:33
100,Rynox Elite Waterproof Boots,50500,29,4,9,0,Advanced boots & shoes incorporating Thermoplastic and FIM for superior Competition-Spec. Built to exceed industry standards.,CE Level 2 armor! Moisture-wicking lining! Wind-resistant construction! Reflective elements! Ventilation zippers! Packable design,rynox_elite_waterproof_boots.jpg,"boots-&-shoes, rynox, weather-protection, waterproof",24-12-20 19:37:10
101,Bridgestone Advanced Series Handle Grips,49500,27,5,21,86,Quality handle grips built with Composite for reliable Professional. Engineered for the modern rider.,Improved efficiency! Long service life! Universal fitment! Quality-tested components! Corrosion-resistant finish! Computer-aided design,bridgestone_advanced_series_handle_grips.jpg,"handle-grips, bridgestone",24-11-20 11:00:40
102,Dainese Racing WP Boots,33000,30,4,9,74,Advanced boots & shoes incorporating Carbon Fiber and Tech-Air for superior Competition-Spec. Trusted by riders worldwide.,Back protector compatible! Moisture-wicking lining! Waterproof membrane! Quick-dry technology,dainese_racing_wp_boots.jpg,"performance, sport, boots-&-shoes, dainese, racing",25-05-10 01:20:39
103,Bell Vortex Plus Version,49000,15,2,1,0,Budget-friendly full face with Temperature-Regulated design. Trusted by riders worldwide.,DOT certified construction! Moisture-wicking interior! Lightweight construction! Pinlock ready! UV protection! Adjustable ventilation,bell_vortex_plus_version.jpg,"bell, full-face",25-04-18 21:19:17
104,Shoei GP Elite Anniversary,36000,2,2,1,0,Professional-grade full face featuring Bluetooth Ready and Ventilated. Trusted by riders worldwide.,Multi-density EPS liner! Moisture-wicking interior! Quick-release visor! Anti-scratch coating! Racing-inspired fit! DOT certified construction! Emergency cheek pad removal,shoei_gp_elite_anniversary.jpg,"shoei, full-face",25-04-26 07:47:08
105,Brembo Elite Edition Handlebars,60000,11,5,12,36,Advanced handlebars incorporating Titanium and FIM for superior High-Performance. Built to exceed industry standards.,Reduced weight! Quality construction! Universal fitment! Advanced materials! Quality-tested components! Enhanced power output,brembo_elite_edition_handlebars.jpg,"brembo, handlebars",24-10-03 05:31:12
106,Dainese Tourer Perforated Jacket,70500,30,4,2,0,Budget-friendly jackets with Ventilated design. Where innovation meets performance.,CE Level 2 armor! Moisture-wicking lining! All-weather performance! Quick-dry technology! Impact-resistant panels! Reflective elements,dainese_tourer_perforated_jacket.jpg,"jackets, dainese",24-10-10 08:27:41
107,Dainese Pro Collection Trousers,27500,30,4,8,1,Engineered with precision using Thermoplastic for uncompromising Track-Proven. Where innovation meets performance.,Impact-resistant panels! Adjustable fit system! Ventilation zippers! Reflective elements! Ergonomic design! All-weather performance,dainese_pro_collection_trousers.jpg,"dainese, trousers",24-08-06 22:14:17
108,Kadoya Advanced Edition Trousers,38000,20,4,8,76,Dependable trousers engineered for daily commuters applications. Trusted by riders worldwide.,Reinforced stress points! Ergonomic design! Thermal insulation! Packable design! Reflective elements! CE Level 2 armor,kadoya_advanced_edition_trousers.jpg,"kadoya, trousers",24-11-20 19:11:33
109,Rynox Pro Gore-Tex Boots,45500,29,4,9,2,Professional-grade boots & shoes featuring SNELL and Ergonomic. Built to exceed industry standards.,CE Level 2 armor! Temperature regulation! Thermal insulation! Multiple pockets,rynox_pro_gore-tex_boots.jpg,"boots-&-shoes, rynox",25-03-24 01:44:52
110,Bell Racing Carbon,63000,15,2,5,58,Engineered with precision using Magnesium for uncompromising High-Performance. Where innovation meets performance.,ECE 22.06 approved! Moisture-wicking interior! Lightweight construction! Bluetooth compatible! Emergency cheek pad removal! Wind tunnel tested,bell_racing_carbon.jpg,"carbon-fiber, motocross, performance, lightweight, premium, sport, bell, racing",25-07-24 23:26:49
111,Dainese Street Summer Gloves,14500,30,4,10,2,Budget-friendly gloves with Ergonomic design. Engineered for the modern rider.,CE Level 2 armor! Temperature regulation! Wind-resistant construction! Reflective elements,dainese_street_summer_gloves.jpg,"street, commuter, gloves, daily, dainese",24-10-23 21:26:42
